날짜,요일,사업장,판매량_m3,판매액_만원
2022-01-05,수,강원 지점,37231.89,3723189.0
2022-01-05,수,충북 지점,49122.86,4912286.0
2022-01-05,수,충남 지점,13574.46,1357446.0
2022-01-05,수,전북 지점,56030.92,5603092.0
2022-01-05,수,전남 지점,27165.51,2716551.0
2022-01-05,수,경북 지점,41253.76,4125376.0
2022-01-05,수,경남 지점,12891.43,1289143.0
2022-01-05,수,제주 지점,34432.88,3443288.0
2022-01-06,목,서울 지점,50745.42,5074542.0
2022-01-06,목,부산 지점,25667.57,2566757.0
2022-01-06,목,대구 지점,27976.47,2797647.0
2022-01-06,목,인천 지점,42212.2,4221220.0
2022-01-06,목,광주 지점,13464.28,1346428.0
2022-01-06,목,대전 지점,29177.98,2917798.0
2022-01-06,목,울산 지점,49074.5,4907450.0
2022-01-06,목,경기 지점,43455.68,4345568.0
2022-01-06,목,강원 지점,37259.94,3725994.0
2022-01-06,목,충북 지점,39277.76,3927776.0
2022-01-06,목,충남 지점,22745.05,2274505.0
2022-01-06,목,전북 지점,57360.63,5736063.0
2022-01-06,목,전남 지점,59821.21,5982121.0
2022-01-06,목,경북 지점,18159.88,1815988.0
2022-01-06,목,경남 지점,13796.99,1379699.0
2022-01-06,목,제주 지점,18675.78,1867578.0
2022-01-07,금,서울 지점,25776.92,2577692.0
2022-01-07,금,부산 지점,45551.51,4555151.0
2022-01-07,금,대구 지점,36835.93,3683593.0
2022-01-07,금,인천 지점,12788.59,1278859.0
2022-01-07,금,광주 지점,35142.73,3514273.0
2022-01-07,금,대전 지점,39798.23,3979823.0
2022-01-07,금,울산 지점,16677.25,1667725.0
2022-01-07,금,경기 지점,14303.49,1430349.0
2022-01-07,금,강원 지점,30973.37,3097337.0
2022-01-07,금,충북 지점,48759.32,4875932.0
2022-01-07,금,충남 지점,18262.76,1826276.0
2022-01-07,금,전북 지점,16437.95,1643795.0
2022-01-07,금,전남 지점,51985.72,5198572.0
2022-01-07,금,경북 지점,22813.15,2281315.0
2022-01-07,금,경남 지점,15950.39,1595039.0
2022-01-07,금,제주 지점,55317.45,5531745.0
2022-01-08,토,서울 지점,29176.27,2917627.0
2022-01-08,토,부산 지점,30876.74,3087674.0
2022-01-08,토,대구 지점,58417.14,5841714.0
2022-01-08,토,인천 지점,45253.9,4525390.0
2022-01-08,토,광주 지점,55566.63,5556663.0
2022-01-08,토,대전 지점,25202.16,2520216.0
2022-01-08,토,울산 지점,40318.74,4031874.0
2022-01-08,토,경기 지점,33261.86,3326186.0
2022-01-08,토,강원 지점,59951.89,5995189.0
2022-01-08,토,충북 지점,34262.02,3426202.0
2022-01-08,토,충남 지점,44367.81,4436781.0
2022-01-08,토,전북 지점,20076.93,2007693.0
2022-01-08,토,전남 지점,17022.17,1702217.0
2022-01-08,토,경북 지점,14945.72,1494572.0
2022-01-08,토,경남 지점,38619.03,3861903.0
2022-01-08,토,제주 지점,53684.66,5368466.0
2022-01-09,일,서울 지점,53689.8,5368980.0
2022-01-09,일,부산 지점,13471.68,1347168.0
2022-01-09,일,대구 지점,49719.71,4971971.0
2022-01-09,일,인천 지점,54000.43,5400043.0
2022-01-09,일,광주 지점,50363.89,5036389.0
2022-01-09,일,대전 지점,11216.63,1121663.0
2022-01-09,일,울산 지점,45282.67,4528267.0
2022-01-09,일,경기 지점,28561.48,2856148.0
2022-01-09,일,강원 지점,46391.5,4639150.0
2022-01-09,일,충북 지점,32943.66,3294366.0
2022-01-09,일,충남 지점,43497.33,4349733.0
2022-01-09,일,전북 지점,23692.57,2369257.0
2022-01-09,일,전남 지점,17302.03,1730203.0
2022-01-09,일,경북 지점,56084.69,5608469.0
2022-01-09,일,경남 지점,45939.53,4593953.0
2022-01-09,일,제주 지점,57180.82,5718082.0
2022-01-10,월,서울 지점,50355.89,5035589.0
2022-01-10,월,부산 지점,21454.84,2145484.0
2022-01-10,월,대구 지점,45033.7,4503370.0
2022-01-10,월,인천 지점,38010.28,3801028.0
2022-01-10,월,광주 지점,23837.35,2383735.0
2022-01-10,월,대전 지점,53302.25,5330225.0
2022-01-10,월,울산 지점,48978.61,4897861.0
2022-01-10,월,경기 지점,16421.27,1642127.0
2022-01-10,월,강원 지점,38498.7,3849870.0
2022-01-10,월,충북 지점,48417.36,4841736.0
2022-01-10,월,충남 지점,18057.35,1805735.0
2022-01-10,월,전북 지점,59589.93,5958993.0
2022-01-10,월,전남 지점,40234.55,4023455.0
2022-01-10,월,경북 지점,53087.56,5308756.0
2022-01-10,월,경남 지점,37312.53,3731253.0
2022-01-10,월,제주 지점,25444.39,2544439.0
2022-01-11,화,서울 지점,51774.73,5177473.0
2022-01-11,화,부산 지점,32369.77,3236977.0
2022-01-11,화,대구 지점,39131.99,3913199.0
2022-01-11,화,인천 지점,38784.82,3878482.0
2022-01-11,화,광주 지점,12948.39,1294839.0
2022-01-11,화,대전 지점,26965.21,2696521.0
2022-01-11,화,울산 지점,26675.06,2667506.0
2022-01-11,화,경기 지점,12185.22,1218522.0
2022-01-11,화,강원 지점,15236.12,1523612.0
2022-01-11,화,충북 지점,38551.19,3855119.0
2022-01-11,화,충남 지점,26104.6,2610460.0
2022-01-11,화,전북 지점,35091.96,3509196.0
2022-01-11,화,전남 지점,34174.4,3417440.0
2022-01-11,화,경북 지점,42712.49,4271249.0
2022-01-11,화,경남 지점,52480.4,5248040.0
2022-01-11,화,제주 지점,21344.9,2134490.0
2022-01-12,수,서울 지점,28079.0,2807900.0
2022-01-12,수,부산 지점,37859.91,3785991.0
2022-01-12,수,대구 지점,47074.27,4707427.0
2022-01-12,수,인천 지점,29171.8,2917180.0
2022-01-12,수,광주 지점,23256.42,2325642.0
2022-01-12,수,대전 지점,43767.13,4376713.0
2022-01-12,수,울산 지점,43193.52,4319352.0
2022-01-12,수,경기 지점,47843.73,4784373.0
2022-01-12,수,강원 지점,34876.24,3487624.0
2022-01-12,수,충북 지점,13771.42,1377142.0
2022-01-12,수,충남 지점,39429.98,3942998.0
2022-01-12,수,전북 지점,25712.58,2571258.0
2022-01-12,수,전남 지점,59893.53,5989353.0
2022-01-12,수,경북 지점,39071.5,3907150.0
2022-01-12,수,경남 지점,32107.28,3210728.0
2022-01-12,수,제주 지점,48099.41,4809941.0
2022-01-13,목,서울 지점,58906.58,5890658.0
2022-01-13,목,부산 지점,34673.95,3467395.0
2022-01-13,목,대구 지점,26567.84,2656784.0
2022-01-13,목,인천 지점,34074.6,3407460.0
2022-01-13,목,광주 지점,44690.34,4469034.0
2022-01-13,목,대전 지점,43662.4,4366240.0
2022-01-13,목,울산 지점,47251.18,4725118.0
2022-01-13,목,경기 지점,41013.63,4101363.0
2022-01-13,목,강원 지점,57716.4,5771640.0
2022-01-13,목,충북 지점,28244.85,2824485.0
2022-01-13,목,충남 지점,10062.3,1006230.0
2022-01-13,목,전북 지점,17473.12,1747312.0
2022-01-13,목,전남 지점,12198.42,1219842.0
2022-01-13,목,경북 지점,17603.48,1760348.0
2022-01-13,목,경남 지점,20743.24,2074324.0
2022-01-13,목,제주 지점,23590.49,2359049.0
2022-01-14,금,서울 지점,11226.98,1122698.0
2022-01-14,금,부산 지점,24094.62,2409462.0
2022-01-14,금,대구 지점,17436.91,1743691.0
2022-01-14,금,인천 지점,14299.51,1429951.0
2022-01-14,금,광주 지점,39062.73,3906273.0
2022-01-14,금,대전 지점,19647.66,1964766.0
2022-01-14,금,울산 지점,14069.61,1406961.0
2022-01-14,금,경기 지점,18969.29,1896929.0
2022-01-14,금,강원 지점,53393.69,5339369.0
2022-01-14,금,충북 지점,36471.7,3647170.0
2022-01-14,금,충남 지점,36724.35,3672435.0
2022-01-14,금,전북 지점,23612.86,2361286.0
2022-01-14,금,전남 지점,35807.06,3580706.0
2022-01-14,금,경북 지점,46799.83,4679983.0
2022-01-14,금,경남 지점,39825.92,3982592.0
2022-01-14,금,제주 지점,36855.02,3685502.0
2022-01-15,토,서울 지점,28180.21,2818021.0
2022-01-15,토,부산 지점,41529.38,4152938.0
2022-01-15,토,대구 지점,52854.37,5285437.0
2022-01-15,토,인천 지점,19534.1,1953410.0
2022-01-15,토,광주 지점,51208.56,5120856.0
2022-01-15,토,대전 지점,34203.88,3420388.0
2022-01-15,토,울산 지점,58962.9,5896290.0
2022-01-15,토,경기 지점,23097.64,2309764.0
2022-01-15,토,강원 지점,14882.0,1488200.0
2022-01-15,토,충북 지점,18028.69,1802869.0
2022-01-15,토,충남 지점,10958.32,1095832.0
2022-01-15,토,전북 지점,28267.28,2826728.0
2022-01-15,토,전남 지점,26012.07,2601207.0
2022-01-15,토,경북 지점,41920.37,4192037.0
2022-01-15,토,경남 지점,18138.28,1813828.0
2022-01-15,토,제주 지점,48039.52,4803952.0
2022-01-16,일,서울 지점,26128.59,2612859.0
2022-01-16,일,부산 지점,53815.05,5381505.0
2022-01-16,일,대구 지점,19161.8,1916180.0
2022-01-16,일,인천 지점,49872.63,4987263.0
2022-01-16,일,광주 지점,19310.89,1931089.0
2022-01-16,일,대전 지점,10978.93,1097893.0
2022-01-16,일,울산 지점,12921.9,1292190.0
2022-01-16,일,경기 지점,50780.3,5078030.0
2022-01-16,일,강원 지점,36629.13,3662913.0
2022-01-16,일,충북 지점,26062.91,2606291.0
2022-01-16,일,충남 지점,42074.4,4207440.0
2022-01-16,일,전북 지점,28861.21,2886121.0
2022-01-16,일,전남 지점,50986.84,5098684.0
2022-01-16,일,경북 지점,47420.07,4742007.0
2022-01-16,일,경남 지점,33352.56,3335256.0
2022-01-16,일,제주 지점,10552.83,1055283.0
2022-01-17,월,서울 지점,35972.16,3597216.0
2022-01-17,월,부산 지점,29146.18,2914618.0
2022-01-17,월,대구 지점,39694.97,3969497.0
2022-01-17,월,인천 지점,18035.51,1803551.0
2022-01-17,월,광주 지점,43242.54,4324254.0
2022-01-17,월,대전 지점,20311.25,2031125.0
2022-01-17,월,울산 지점,58995.85,5899585.0
2022-01-17,월,경기 지점,50945.83,5094583.0
2022-01-17,월,강원 지점,19057.93,1905793.0
2022-01-17,월,충북 지점,37206.23,3720623.0
2022-01-17,월,충남 지점,32744.94,3274494.0
2022-01-17,월,전북 지점,50525.44,5052544.0
2022-01-17,월,전남 지점,46986.65,4698665.0
2022-01-17,월,경북 지점,24798.76,2479876.0
2022-01-17,월,경남 지점,28217.12,2821712.0
2022-01-17,월,제주 지점,13009.41,1300941.0
2022-01-18,화,서울 지점,38365.33,3836533.0
2022-01-18,화,부산 지점,47947.65,4794765.0
2022-01-18,화,대구 지점,30948.07,3094807.0
2022-01-18,화,인천 지점,57285.5,5728550.0
2022-01-18,화,광주 지점,16859.92,1685992.0
2022-01-18,화,대전 지점,54542.85,5454285.0
2022-01-18,화,울산 지점,11077.05,1107705.0
2022-01-18,화,경기 지점,55662.24,5566224.0
2022-01-18,화,강원 지점,25278.43,2527843.0
2022-01-18,화,충북 지점,15488.96,1548896.0
2022-01-18,화,충남 지점,59462.99,5946299.0
2022-01-18,화,전북 지점,47225.92,4722592.0
2022-01-18,화,전남 지점,36510.08,3651008.0
2022-01-18,화,경북 지점,29685.34,2968534.0
2022-01-18,화,경남 지점,22754.58,2275458.0
2022-01-18,화,제주 지점,39874.82,3987482.0
2022-01-19,수,서울 지점,32445.41,3244541.0
2022-01-19,수,부산 지점,35323.61,3532361.0
2022-01-19,수,대구 지점,33094.8,3309480.0
2022-01-19,수,인천 지점,42116.23,4211623.0
2022-01-19,수,광주 지점,56196.62,5619662.0
2022-01-19,수,대전 지점,57641.62,5764162.0
2022-01-19,수,울산 지점,51754.55,5175455.0
2022-01-19,수,경기 지점,23422.37,2342237.0
2022-01-19,수,강원 지점,22391.54,2239154.0
2022-01-19,수,충북 지점,38844.69,3884469.0
2022-01-19,수,충남 지점,58731.32,5873132.0
2022-01-19,수,전북 지점,37591.46,3759146.0
2022-01-19,수,전남 지점,15590.98,1559098.0
2022-01-19,수,경북 지점,53255.49,5325549.0
2022-01-19,수,경남 지점,47338.13,4733813.0
2022-01-19,수,제주 지점,21940.53,2194053.0
2022-01-20,목,서울 지점,41495.7,4149570.0
2022-01-20,목,부산 지점,21230.51,2123051.0
2022-01-20,목,대구 지점,31262.17,3126217.0
2022-01-20,목,인천 지점,21841.3,2184130.0
2022-01-20,목,광주 지점,39838.72,3983872.0
2022-01-20,목,대전 지점,25158.55,2515855.0
2022-01-20,목,울산 지점,18404.32,1840432.0
2022-01-20,목,경기 지점,12979.99,1297999.0
2022-01-20,목,강원 지점,41590.09,4159009.0
2022-01-20,목,충북 지점,39828.85,3982885.0
2022-01-20,목,충남 지점,19731.48,1973148.0
2022-01-20,목,전북 지점,10139.48,1013948.0
2022-01-20,목,전남 지점,16806.22,1680622.0
2022-01-20,목,경북 지점,25268.52,2526852.0
2022-01-20,목,경남 지점,36156.72,3615672.0
2022-01-20,목,제주 지점,54279.99,5427999.0
2022-01-21,금,서울 지점,20514.86,2051486.0
2022-01-21,금,부산 지점,20774.87,2077487.0
2022-01-21,금,대구 지점,52208.52,5220852.0
2022-01-21,금,인천 지점,35411.71,3541171.0
2022-01-21,금,광주 지점,44570.16,4457016.0
2022-01-21,금,대전 지점,27337.22,2733722.0
2022-01-21,금,울산 지점,51944.09,5194409.0
2022-01-21,금,경기 지점,32488.93,3248893.0
2022-01-21,금,강원 지점,55146.43,5514643.0
2022-01-21,금,충북 지점,30024.26,3002426.0
2022-01-21,금,충남 지점,50436.41,5043641.0
2022-01-21,금,전북 지점,12784.21,1278421.0
2022-01-21,금,전남 지점,44141.12,4414112.0
2022-01-21,금,경북 지점,17076.38,1707638.0
2022-01-21,금,경남 지점,54855.81,5485581.0
2022-01-21,금,제주 지점,58232.23,5823223.0
2022-01-22,토,서울 지점,26063.02,2606302.0
2022-01-22,토,부산 지점,38133.2,3813320.0
2022-01-22,토,대구 지점,29987.89,2998789.0
2022-01-22,토,인천 지점,40645.84,4064584.0
2022-01-22,토,광주 지점,27722.29,2772229.0
2022-01-22,토,대전 지점,50957.63,5095763.0
2022-01-22,토,울산 지점,11568.38,1156838.0
2022-01-22,토,경기 지점,47065.37,4706537.0
2022-01-22,토,강원 지점,10691.7,1069170.0
2022-01-22,토,충북 지점,58144.46,5814446.0
2022-01-22,토,충남 지점,12027.43,1202743.0
2022-01-22,토,전북 지점,49750.1,4975010.0
2022-01-22,토,전남 지점,44980.38,4498038.0
2022-01-22,토,경북 지점,53037.56,5303756.0
2022-01-22,토,경남 지점,16423.8,1642380.0
2022-01-22,토,제주 지점,27743.59,2774359.0
2022-01-23,일,서울 지점,14300.74,1430074.0
2022-01-23,일,부산 지점,24424.77,2442477.0
2022-01-23,일,대구 지점,40467.28,4046728.0
2022-01-23,일,인천 지점,58495.1,5849510.0
2022-01-23,일,광주 지점,22712.75,2271275.0
2022-01-23,일,대전 지점,27034.65,2703465.0
2022-01-23,일,울산 지점,30393.75,3039375.0
2022-01-23,일,경기 지점,11532.45,1153245.0
2022-01-23,일,강원 지점,44423.24,4442324.0
2022-01-23,일,충북 지점,16314.14,1631414.0
2022-01-23,일,충남 지점,53920.74,5392074.0
2022-01-23,일,전북 지점,30739.87,3073987.0
2022-01-23,일,전남 지점,53709.0,5370900.0
2022-01-23,일,경북 지점,46735.83,4673583.0
2022-01-23,일,경남 지점,48944.81,4894481.0
2022-01-23,일,제주 지점,28789.22,2878922.0
2022-01-24,월,서울 지점,50644.54,5064454.0
2022-01-24,월,부산 지점,38045.18,3804518.0
2022-01-24,월,대구 지점,18450.81,1845081.0
2022-01-24,월,인천 지점,54616.59,5461659.0
2022-01-24,월,광주 지점,30350.19,3035019.0
2022-01-24,월,대전 지점,54891.18,5489118.0
2022-01-24,월,울산 지점,38791.78,3879178.0
2022-01-24,월,경기 지점,12567.57,1256757.0
2022-01-24,월,강원 지점,49243.21,4924321.0
2022-01-24,월,충북 지점,11277.59,1127759.0
2022-01-24,월,충남 지점,14957.77,1495777.0
2022-01-24,월,전북 지점,26852.59,2685259.0
2022-01-24,월,전남 지점,41557.02,4155702.0
2022-01-24,월,경북 지점,31393.41,3139341.0
2022-01-24,월,경남 지점,29880.23,2988023.0
2022-01-24,월,제주 지점,31398.28,3139828.0
2022-01-25,화,서울 지점,16348.64,1634864.0
2022-01-25,화,부산 지점,44960.17,4496017.0
2022-01-25,화,대구 지점,20055.84,2005584.0
2022-01-25,화,인천 지점,31750.54,3175054.0
2022-01-25,화,광주 지점,58492.91,5849291.0
2022-01-25,화,대전 지점,56390.07,5639007.0
2022-01-25,화,울산 지점,48425.24,4842524.0
2022-01-25,화,경기 지점,54299.02,5429902.0
2022-01-25,화,강원 지점,44273.78,4427378.0
2022-01-25,화,충북 지점,50985.32,5098532.0
2022-01-25,화,충남 지점,22413.93,2241393.0
2022-01-25,화,전북 지점,32739.08,3273908.0
2022-01-25,화,전남 지점,24359.76,2435976.0
2022-01-25,화,경북 지점,11898.64,1189864.0
2022-01-25,화,경남 지점,22016.0,2201600.0
2022-01-25,화,제주 지점,22819.1,2281910.0
2022-01-26,수,서울 지점,44235.97,4423597.0
2022-01-26,수,부산 지점,27134.0,2713400.0
2022-01-26,수,대구 지점,20798.84,2079884.0
2022-01-26,수,인천 지점,10646.84,1064684.0
2022-01-26,수,광주 지점,30004.47,3000447.0
2022-01-26,수,대전 지점,48544.08,4854408.0
2022-01-26,수,울산 지점,41367.35,4136735.0
2022-01-26,수,경기 지점,54878.12,5487812.0
2022-01-26,수,강원 지점,38691.76,3869176.0
2022-01-26,수,충북 지점,12391.59,1239159.0
2022-01-26,수,충남 지점,31785.59,3178559.0
2022-01-26,수,전북 지점,30985.96,3098596.0
2022-01-26,수,전남 지점,52469.68,5246968.0
2022-01-26,수,경북 지점,42838.44,4283844.0
2022-01-26,수,경남 지점,23292.59,2329259.0
2022-01-26,수,제주 지점,45062.75,4506275.0
2022-01-27,목,서울 지점,51569.91,5156991.0
2022-01-27,목,부산 지점,12855.48,1285548.0
2022-01-27,목,대구 지점,46073.54,4607354.0
2022-01-27,목,인천 지점,49752.51,4975251.0
2022-01-27,목,광주 지점,28068.84,2806884.0
2022-01-27,목,대전 지점,57563.41,5756341.0
2022-01-27,목,울산 지점,51609.29,5160929.0
2022-01-27,목,경기 지점,23154.9,2315490.0
2022-01-27,목,강원 지점,29666.86,2966686.0
2022-01-27,목,충북 지점,55410.57,5541057.0
2022-01-27,목,충남 지점,51623.32,5162332.0
2022-01-27,목,전북 지점,50352.92,5035292.0
2022-01-27,목,전남 지점,58562.98,5856298.0
2022-01-27,목,경북 지점,13720.52,1372052.0
2022-01-27,목,경남 지점,13131.82,1313182.0
2022-01-27,목,제주 지점,31750.47,3175047.0
2022-01-28,금,서울 지점,55634.91,5563491.0
2022-01-28,금,부산 지점,36676.43,3667643.0
2022-01-28,금,대구 지점,56681.64,5668164.0
2022-01-28,금,인천 지점,17765.74,1776574.0
2022-01-28,금,광주 지점,46861.01,4686101.0
2022-01-28,금,대전 지점,26124.55,2612455.0
2022-01-28,금,울산 지점,43859.62,4385962.0
2022-01-28,금,경기 지점,31414.27,3141427.0
2022-01-28,금,강원 지점,25190.87,2519087.0
2022-01-28,금,충북 지점,52768.55,5276855.0
2022-01-28,금,충남 지점,29483.69,2948369.0
2022-01-28,금,전북 지점,21413.28,2141328.0
2022-01-28,금,전남 지점,17555.33,1755533.0
2022-01-28,금,경북 지점,18857.87,1885787.0
2022-01-28,금,경남 지점,36119.38,3611938.0
2022-01-28,금,제주 지점,12703.35,1270335.0
2022-01-29,토,서울 지점,13779.35,1377935.0
2022-01-29,토,부산 지점,32576.28,3257628.0
2022-01-29,토,대구 지점,45042.99,4504299.0
2022-01-29,토,인천 지점,44456.42,4445642.0
2022-01-29,토,광주 지점,54975.87,5497587.0
2022-01-29,토,대전 지점,35308.34,3530834.0
2022-01-29,토,울산 지점,20900.55,2090055.0
2022-01-29,토,경기 지점,50024.81,5002481.0
2022-01-29,토,강원 지점,17376.43,1737643.0
2022-01-29,토,충북 지점,43679.77,4367977.0
2022-01-29,토,충남 지점,44941.65,4494165.0
2022-01-29,토,전북 지점,19666.96,1966696.0
2022-01-29,토,전남 지점,12739.06,1273906.0
2022-01-29,토,경북 지점,19385.5,1938550.0
2022-01-29,토,경남 지점,49676.5,4967650.0
2022-01-29,토,제주 지점,51722.05,5172205.0
2022-01-30,일,서울 지점,23097.45,2309745.0
2022-01-30,일,부산 지점,35985.42,3598542.0
2022-01-30,일,대구 지점,12818.63,1281863.0
2022-01-30,일,인천 지점,19694.81,1969481.0
2022-01-30,일,광주 지점,38340.61,3834061.0
2022-01-30,일,대전 지점,21638.43,2163843.0
2022-01-30,일,울산 지점,12546.85,1254685.0
2022-01-30,일,경기 지점,54474.24,5447424.0
2022-01-30,일,강원 지점,21620.87,2162087.0
2022-01-30,일,충북 지점,48833.14,4883314.0
2022-01-30,일,충남 지점,31120.43,3112043.0
2022-01-30,일,전북 지점,45288.4,4528840.0
2022-01-30,일,전남 지점,27814.96,2781496.0
2022-01-30,일,경북 지점,40134.34,4013434.0
2022-01-30,일,경남 지점,42828.65,4282865.0
2022-01-30,일,제주 지점,16181.19,1618119.0
2022-01-31,월,서울 지점,54194.47,5419447.0
2022-01-31,월,부산 지점,27645.57,2764557.0
2022-01-31,월,대구 지점,49363.61,4936361.0
2022-01-31,월,인천 지점,37621.47,3762147.0
2022-01-31,월,광주 지점,19154.84,1915484.0
2022-01-31,월,대전 지점,27764.0,2776400.0
2022-01-31,월,울산 지점,14263.86,1426386.0
2022-01-31,월,경기 지점,23573.02,2357302.0
2022-01-31,월,강원 지점,20356.39,2035639.0
2022-01-31,월,충북 지점,23690.35,2369035.0
2022-01-31,월,충남 지점,50155.16,5015516.0
2022-01-31,월,전북 지점,14002.07,1400207.0
2022-01-31,월,전남 지점,41600.78,4160078.0
2022-01-31,월,경북 지점,27685.05,2768505.0
2022-01-31,월,경남 지점,34188.42,3418842.0
2022-01-31,월,제주 지점,20640.69,2064069.0
2022-02-01,화,서울 지점,57676.86,5767686.0
2022-02-01,화,부산 지점,43181.95,4318195.0
2022-02-01,화,대구 지점,20093.5,2009350.0
2022-02-01,화,인천 지점,34521.36,3452136.0
2022-02-01,화,광주 지점,17766.44,1776644.0
2022-02-01,화,대전 지점,55475.58,5547558.0
2022-02-01,화,울산 지점,33546.73,3354673.0
2022-02-01,화,경기 지점,13696.33,1369633.0
2022-02-01,화,강원 지점,17542.9,1754290.0
2022-02-01,화,충북 지점,34893.26,3489326.0
2022-02-01,화,충남 지점,19828.35,1982835.0
2022-02-01,화,전북 지점,45554.91,4555491.0
2022-02-01,화,전남 지점,31292.73,3129273.0
2022-02-01,화,경북 지점,38218.34,3821834.0
2022-02-01,화,경남 지점,40908.53,4090853.0
2022-02-01,화,제주 지점,57402.27,5740227.0
2022-02-02,수,서울 지점,56678.38,5667838.0
2022-02-02,수,부산 지점,28793.57,2879357.0
2022-02-02,수,대구 지점,54790.17,5479017.0
2022-02-02,수,인천 지점,59698.85,5969885.0
2022-02-02,수,광주 지점,53992.88,5399288.0
2022-02-02,수,대전 지점,12541.24,1254124.0
2022-02-02,수,울산 지점,26357.17,2635717.0
2022-02-02,수,경기 지점,15482.98,1548298.0
2022-02-02,수,강원 지점,44198.67,4419867.0
2022-02-02,수,충북 지점,27477.77,2747777.0
2022-02-02,수,충남 지점,19427.08,1942708.0
2022-02-02,수,전북 지점,20361.27,2036127.0
2022-02-02,수,전남 지점,28756.81,2875681.0
2022-02-02,수,경북 지점,39777.81,3977781.0
2022-02-02,수,경남 지점,44047.34,4404734.0
2022-02-02,수,제주 지점,11086.9,1108690.0
2022-02-03,목,서울 지점,59060.4,5906040.0
2022-02-03,목,부산 지점,12037.47,1203747.0
2022-02-03,목,대구 지점,59007.82,5900782.0
2022-02-03,목,인천 지점,23444.2,2344420.0
2022-02-03,목,광주 지점,54613.49,5461349.0
2022-02-03,목,대전 지점,54007.86,5400786.0
2022-02-03,목,울산 지점,34204.15,3420415.0
2022-02-03,목,경기 지점,47556.6,4755660.0
