연월,사업장,지역,고객_카테고리,판매량_m3,판매액_만원,고객수,평균_사용량
2022-01,충남 지점,충남,산업용,41608.36,4053774.0,2394,12.81
2022-01,충남 지점,충남,발전용,14088.34,1180128.0,2241,4.46
2022-01,전북 지점,전북,주택용,17368.85,1712342.0,4552,8.0
2022-01,전북 지점,전북,상업용,15630.5,1834043.0,1731,5.36
2022-01,전북 지점,전북,산업용,45312.66,5196817.0,3646,47.65
2022-01,전북 지점,전북,발전용,19514.76,2296079.0,4013,16.74
2022-01,전남 지점,전남,주택용,15847.24,1700731.0,2996,3.7
2022-01,전남 지점,전남,상업용,16555.77,1402714.0,1616,5.1
2022-01,전남 지점,전남,산업용,38413.89,4226473.0,2886,31.44
2022-01,전남 지점,전남,발전용,19713.53,2253976.0,3540,5.1
2022-01,경북 지점,경북,주택용,30080.49,3400849.0,1465,6.55
2022-01,경북 지점,경북,상업용,10598.99,983295.0,817,3.68
2022-01,경북 지점,경북,산업용,35732.92,3328399.0,3038,9.56
2022-01,경북 지점,경북,발전용,16368.63,1669291.0,1256,19.67
2022-01,경남 지점,경남,주택용,23059.48,1938032.0,1642,17.86
2022-01,경남 지점,경남,상업용,14896.02,1779561.0,1488,7.62
2022-01,경남 지점,경남,산업용,44401.09,4809847.0,1910,14.69
2022-01,경남 지점,경남,발전용,12187.89,980566.0,1343,3.2
2022-01,제주 지점,제주,주택용,17713.16,1830385.0,4385,29.33
2022-01,제주 지점,제주,상업용,13546.13,1090276.0,1952,3.17
2022-01,제주 지점,제주,산업용,26383.91,2662768.0,1356,7.59
2022-01,제주 지점,제주,발전용,25166.14,2059039.0,1453,8.73
2022-02,서울 지점,서울,주택용,14022.45,1484612.0,3819,4.93
2022-02,서울 지점,서울,상업용,10981.94,892751.0,2608,3.81
2022-02,서울 지점,서울,산업용,21542.9,2224229.0,2044,197.64
2022-02,서울 지점,서울,발전용,10007.13,1125023.0,323,2.35
2022-02,부산 지점,부산,주택용,18624.53,1589679.0,504,3.95
2022-02,부산 지점,부산,상업용,14903.03,1625098.0,4909,3.48
2022-02,부산 지점,부산,산업용,24888.74,2218725.0,4683,12.94
2022-02,부산 지점,부산,발전용,19773.34,2239427.0,4463,9.49
2022-02,대구 지점,대구,주택용,22226.31,1803694.0,3378,16.44
2022-02,대구 지점,대구,상업용,13254.86,1246269.0,1458,5.13
2022-02,대구 지점,대구,산업용,33953.92,3561204.0,2228,14.89
2022-02,대구 지점,대구,발전용,20975.07,1716483.0,4400,5.35
2022-02,인천 지점,인천,주택용,27494.67,2639819.0,999,6.04
2022-02,인천 지점,인천,상업용,15388.74,1601620.0,3222,3.21
2022-02,인천 지점,인천,산업용,34361.16,3977946.0,2068,18.54
2022-02,인천 지점,인천,발전용,18784.13,2159108.0,2978,4.43
2022-02,광주 지점,광주,주택용,14174.53,1252660.0,738,91.45
2022-02,광주 지점,광주,상업용,16945.36,1380494.0,1746,16.65
2022-02,광주 지점,광주,산업용,23518.05,2109541.0,4680,10.81
2022-02,광주 지점,광주,발전용,14032.78,1622485.0,3383,8.24
2022-02,대전 지점,대전,주택용,24195.79,2475464.0,4107,9.41
2022-02,대전 지점,대전,상업용,18782.59,1750800.0,3548,13.3
2022-02,대전 지점,대전,산업용,35305.33,2948542.0,2497,9.21
2022-02,대전 지점,대전,발전용,21721.18,1835039.0,567,5.09
2022-02,울산 지점,울산,주택용,34489.7,4041332.0,946,12.05
2022-02,울산 지점,울산,상업용,10558.57,1024365.0,324,2.23
2022-02,울산 지점,울산,산업용,39563.78,3409389.0,2126,10.29
2022-02,울산 지점,울산,발전용,18475.55,1983957.0,1719,43.99
2022-02,경기 지점,경기,주택용,18530.94,2071233.0,1218,10.87
2022-02,경기 지점,경기,상업용,23013.46,2007909.0,1670,8.65
2022-02,경기 지점,경기,산업용,50599.78,4456074.0,1414,10.28
2022-02,경기 지점,경기,발전용,26087.16,2700863.0,2549,10.68
2022-02,강원 지점,강원,주택용,24421.49,2382311.0,1092,8.68
2022-02,강원 지점,강원,상업용,11321.47,1151552.0,297,4.15
2022-02,강원 지점,강원,산업용,25339.42,2567857.0,1354,24.79
2022-02,강원 지점,강원,발전용,16430.51,1336479.0,2745,8.4
2022-02,충북 지점,충북,주택용,25537.95,2907702.0,3328,6.69
2022-02,충북 지점,충북,상업용,11358.01,1223916.0,893,5.87
2022-02,충북 지점,충북,산업용,43453.16,4212518.0,445,17.74
2022-02,충북 지점,충북,발전용,10843.22,1182386.0,2830,2.99
2022-02,충남 지점,충남,주택용,18076.23,2003748.0,3549,4.26
2022-02,충남 지점,충남,상업용,16240.15,1938971.0,1745,12.44
2022-02,충남 지점,충남,산업용,30609.72,2913195.0,1432,101.69
2022-02,충남 지점,충남,발전용,18232.07,2129401.0,485,5.39
2022-02,전북 지점,전북,주택용,28680.96,2579252.0,4220,13.72
2022-02,전북 지점,전북,상업용,7658.66,680119.0,3220,7.18
2022-02,전북 지점,전북,산업용,37234.25,3253474.0,4522,19.68
2022-02,전북 지점,전북,발전용,24429.53,2411910.0,3476,5.28
2022-02,전남 지점,전남,주택용,24485.72,2475651.0,2261,7.22
2022-02,전남 지점,전남,상업용,11622.88,1103387.0,1581,5.81
2022-02,전남 지점,전남,산업용,56615.03,5453125.0,4508,19.48
2022-02,전남 지점,전남,발전용,20492.93,2106217.0,3775,6.5
2022-02,경북 지점,경북,주택용,33026.82,3913875.0,264,7.55
2022-02,경북 지점,경북,상업용,9608.17,848549.0,4342,2.53
2022-02,경북 지점,경북,산업용,36787.63,3445996.0,4941,24.38
2022-02,경북 지점,경북,발전용,18755.39,1772577.0,3677,6.25
2022-02,경남 지점,경남,주택용,30241.07,2639570.0,4053,9.2
2022-02,경남 지점,경남,상업용,14994.05,1586403.0,2641,6.97
2022-02,경남 지점,경남,산업용,45993.05,4653874.0,2189,328.52
2022-02,경남 지점,경남,발전용,23471.76,1888065.0,4152,10.8
2022-02,제주 지점,제주,주택용,35178.88,3061085.0,1808,9.85
2022-02,제주 지점,제주,상업용,10916.04,1195540.0,2966,2.23
2022-02,제주 지점,제주,산업용,29850.02,3246543.0,2954,22.11
2022-02,제주 지점,제주,발전용,12617.5,1145624.0,850,6.78
2022-03,서울 지점,서울,주택용,33400.89,3305669.0,2220,13.67
2022-03,서울 지점,서울,상업용,12531.24,1413073.0,1352,2.91
2022-03,서울 지점,서울,산업용,31546.85,3681282.0,3104,73.54
2022-03,서울 지점,서울,발전용,32177.66,3396608.0,3252,17.39
2022-03,부산 지점,부산,주택용,31211.66,3362339.0,588,213.78
2022-03,부산 지점,부산,상업용,14897.79,1378257.0,4530,20.46
2022-03,부산 지점,부산,산업용,26229.77,2880096.0,2519,25.37
2022-03,부산 지점,부산,발전용,21758.38,2228648.0,230,7.06
2022-03,대구 지점,대구,주택용,24186.54,2575049.0,2869,5.74
2022-03,대구 지점,대구,상업용,22152.43,1772405.0,1904,6.69
2022-03,대구 지점,대구,산업용,18146.46,1515987.0,4513,52.75
2022-03,대구 지점,대구,발전용,15031.58,1404773.0,4535,3.28
2022-03,인천 지점,인천,주택용,33829.26,3674606.0,4488,63.71
2022-03,인천 지점,인천,상업용,21279.26,1888112.0,2141,11.04
2022-03,인천 지점,인천,산업용,38313.82,3781423.0,1968,7.71
2022-03,인천 지점,인천,발전용,22267.18,1986829.0,4421,24.1
2022-03,광주 지점,광주,주택용,15976.86,1897478.0,2836,4.89
2022-03,광주 지점,광주,상업용,14249.96,1707907.0,102,3.27
2022-03,광주 지점,광주,산업용,49139.73,5621834.0,1390,28.24
2022-03,광주 지점,광주,발전용,12421.34,1011307.0,4235,7.48
2022-03,대전 지점,대전,주택용,23516.94,2561860.0,1013,5.06
2022-03,대전 지점,대전,상업용,7680.08,885638.0,417,3.08
2022-03,대전 지점,대전,산업용,45675.32,4994889.0,4411,18.4
2022-03,대전 지점,대전,발전용,27425.13,2959141.0,4551,6.25
2022-03,울산 지점,울산,주택용,28579.55,3291302.0,4621,10.14
2022-03,울산 지점,울산,상업용,19170.26,1922753.0,394,9.19
2022-03,울산 지점,울산,산업용,44685.89,4708115.0,4870,40.37
2022-03,울산 지점,울산,발전용,27409.12,2886314.0,1345,12.55
2022-03,경기 지점,경기,주택용,15692.75,1699947.0,1017,15.93
2022-03,경기 지점,경기,상업용,18377.33,2182402.0,3847,21.32
2022-03,경기 지점,경기,산업용,19274.45,1918689.0,3094,7.4
2022-03,경기 지점,경기,발전용,29058.36,2849332.0,138,8.44
2022-03,강원 지점,강원,주택용,33126.89,3517428.0,3878,11.06
2022-03,강원 지점,강원,상업용,9572.87,1135159.0,1782,2.01
2022-03,강원 지점,강원,산업용,27994.33,2652212.0,2355,7.55
2022-03,강원 지점,강원,발전용,28298.8,3220158.0,4544,26.72
2022-03,충북 지점,충북,주택용,20566.75,1646353.0,3444,5.06
2022-03,충북 지점,충북,상업용,10869.03,1122541.0,216,4.29
2022-03,충북 지점,충북,산업용,27900.61,2670081.0,1489,7.61
2022-03,충북 지점,충북,발전용,30247.5,2467735.0,313,7.83
2022-03,충남 지점,충남,주택용,17091.0,1789876.0,2820,21.02
2022-03,충남 지점,충남,상업용,22247.22,1853201.0,1017,6.8
2022-03,충남 지점,충남,산업용,35804.32,3104210.0,1995,86.07
2022-03,충남 지점,충남,발전용,11221.78,1216019.0,4011,6.19
2022-03,전북 지점,전북,주택용,29275.51,2989616.0,3561,8.4
2022-03,전북 지점,전북,상업용,13432.67,1464068.0,2234,3.64
2022-03,전북 지점,전북,산업용,24842.53,2168373.0,3802,10.12
2022-03,전북 지점,전북,발전용,21735.49,2605071.0,3020,18.39
2022-03,전남 지점,전남,주택용,22748.6,2054365.0,3988,88.17
2022-03,전남 지점,전남,상업용,20099.15,2013810.0,1812,4.18
2022-03,전남 지점,전남,산업용,33111.06,3699109.0,4490,8.06
2022-03,전남 지점,전남,발전용,17435.21,1977849.0,3014,3.49
2022-03,경북 지점,경북,주택용,34844.36,3039790.0,4105,11.05
2022-03,경북 지점,경북,상업용,9459.97,1007533.0,3914,2.85
2022-03,경북 지점,경북,산업용,25804.03,2862672.0,4123,5.74
2022-03,경북 지점,경북,발전용,17566.04,1720613.0,2991,4.97
2022-03,경남 지점,경남,주택용,20472.26,1775043.0,3292,6.25
2022-03,경남 지점,경남,상업용,17917.74,1852949.0,1842,8.85
2022-03,경남 지점,경남,산업용,28442.74,3341005.0,2944,24.56
2022-03,경남 지점,경남,발전용,16450.75,1413674.0,2840,6.89
2022-03,제주 지점,제주,주택용,39350.56,3863816.0,3349,38.65
2022-03,제주 지점,제주,상업용,10468.0,921960.0,4570,4.91
2022-03,제주 지점,제주,산업용,29259.99,2639610.0,2574,8.16
2022-03,제주 지점,제주,발전용,17390.02,2038770.0,3172,5.39
2022-04,서울 지점,서울,주택용,29529.16,2738076.0,3332,6.05
2022-04,서울 지점,서울,상업용,9632.79,1065460.0,1767,5.55
2022-04,서울 지점,서울,산업용,53174.19,5052978.0,921,95.98
2022-04,서울 지점,서울,발전용,19324.83,1846339.0,1540,4.29
2022-04,부산 지점,부산,주택용,22477.0,2375887.0,1061,7.28
2022-04,부산 지점,부산,상업용,16912.32,1903493.0,4860,152.36
2022-04,부산 지점,부산,산업용,26225.09,2674345.0,2645,10.44
2022-04,부산 지점,부산,발전용,10750.08,1246162.0,814,2.53
2022-04,대구 지점,대구,주택용,16113.77,1454607.0,3735,6.1
2022-04,대구 지점,대구,상업용,18414.66,2000680.0,4116,6.73
2022-04,대구 지점,대구,산업용,22193.5,2241689.0,3754,9.03
2022-04,대구 지점,대구,발전용,15436.2,1738578.0,1808,5.08
2022-04,인천 지점,인천,주택용,16820.22,1780659.0,2525,9.56
2022-04,인천 지점,인천,상업용,15874.4,1734728.0,3783,4.71
2022-04,인천 지점,인천,산업용,21091.59,1885787.0,3279,15.63
2022-04,인천 지점,인천,발전용,14492.53,1278929.0,1646,19.35
2022-04,광주 지점,광주,주택용,18321.58,1903280.0,3829,4.57
2022-04,광주 지점,광주,상업용,12500.94,1409460.0,1341,10.2
2022-04,광주 지점,광주,산업용,25911.78,2271808.0,2014,10.07
2022-04,광주 지점,광주,발전용,19367.98,2045389.0,2923,10.55
2022-04,대전 지점,대전,주택용,29916.99,3583026.0,2917,10.84
2022-04,대전 지점,대전,상업용,17185.64,2033147.0,1968,7.06
2022-04,대전 지점,대전,산업용,36440.06,2917007.0,2031,9.54
2022-04,대전 지점,대전,발전용,15485.62,1853618.0,4043,33.45
2022-04,울산 지점,울산,주택용,22161.74,2539457.0,1112,7.56
2022-04,울산 지점,울산,상업용,8830.71,827146.0,2508,20.07
2022-04,울산 지점,울산,산업용,32181.87,3787661.0,4506,89.15
2022-04,울산 지점,울산,발전용,23877.09,2798963.0,4237,8.45
2022-04,경기 지점,경기,주택용,35185.18,3926708.0,172,7.66
2022-04,경기 지점,경기,상업용,12000.39,1267708.0,2085,13.45
2022-04,경기 지점,경기,산업용,44275.15,5010765.0,3046,16.83
2022-04,경기 지점,경기,발전용,9208.08,786431.0,4323,2.44
2022-04,강원 지점,강원,주택용,30665.41,2453641.0,4238,6.89
2022-04,강원 지점,강원,상업용,10851.58,960042.0,3950,13.75
2022-04,강원 지점,강원,산업용,42425.42,3600026.0,4385,11.58
2022-04,강원 지점,강원,발전용,24199.46,2723862.0,1482,16.1
2022-04,충북 지점,충북,주택용,18004.56,2078882.0,867,8.4
2022-04,충북 지점,충북,상업용,13659.87,1619417.0,4581,5.71
2022-04,충북 지점,충북,산업용,42352.84,3936274.0,2109,124.2
2022-04,충북 지점,충북,발전용,10294.44,933027.0,2542,2.1
2022-04,충남 지점,충남,주택용,28631.34,2569351.0,693,5.8
2022-04,충남 지점,충남,상업용,18173.64,1550681.0,116,5.52
2022-04,충남 지점,충남,산업용,37645.06,3069468.0,2379,42.39
2022-04,충남 지점,충남,발전용,16927.15,1956366.0,4026,17.72
2022-04,전북 지점,전북,주택용,26744.01,2180195.0,4282,7.52
2022-04,전북 지점,전북,상업용,9696.34,912717.0,465,5.47
2022-04,전북 지점,전북,산업용,41985.82,4281909.0,2137,11.92
2022-04,전북 지점,전북,발전용,23531.13,2619001.0,459,9.5
2022-04,전남 지점,전남,주택용,25125.74,2657202.0,477,5.82
2022-04,전남 지점,전남,상업용,23389.03,2434220.0,1816,5.73
2022-04,전남 지점,전남,산업용,27925.57,2484946.0,4683,7.35
2022-04,전남 지점,전남,발전용,16108.36,1704787.0,4166,9.66
2022-04,경북 지점,경북,주택용,22499.87,1998945.0,401,30.16
2022-04,경북 지점,경북,상업용,7848.53,797271.0,3637,1.58
2022-04,경북 지점,경북,산업용,44637.82,5072111.0,560,18.41
2022-04,경북 지점,경북,발전용,16365.83,1760234.0,1404,4.81
2022-04,경남 지점,경남,주택용,19850.2,2375521.0,1955,5.42
2022-04,경남 지점,경남,상업용,18178.89,1727183.0,2647,5.9
2022-04,경남 지점,경남,산업용,18553.12,2195259.0,2734,4.54
2022-04,경남 지점,경남,발전용,28350.26,2776750.0,1143,13.97
2022-04,제주 지점,제주,주택용,35284.47,2827300.0,2185,8.05
2022-04,제주 지점,제주,상업용,9634.86,795783.0,4531,3.16
2022-04,제주 지점,제주,산업용,30733.26,2854638.0,3490,6.68
2022-04,제주 지점,제주,발전용,16043.17,1617342.0,4935,3.66
2022-05,서울 지점,서울,주택용,33291.57,3684163.0,1119,17.2
2022-05,서울 지점,서울,상업용,16814.49,2011771.0,2271,96.64
2022-05,서울 지점,서울,산업용,31093.32,2693047.0,3796,15.66
2022-05,서울 지점,서울,발전용,18790.37,1698120.0,4776,8.94
2022-05,부산 지점,부산,주택용,25843.46,2819975.0,3078,5.34
2022-05,부산 지점,부산,상업용,6892.23,661333.0,1719,1.45
2022-05,부산 지점,부산,산업용,19423.59,1768022.0,369,26.57
2022-05,부산 지점,부산,발전용,24401.36,2104746.0,1819,8.9
2022-05,대구 지점,대구,주택용,30372.9,2534830.0,1522,39.39
2022-05,대구 지점,대구,상업용,16057.47,1553588.0,4360,6.52
2022-05,대구 지점,대구,산업용,39053.36,3606498.0,4579,19.23
2022-05,대구 지점,대구,발전용,13061.31,1489312.0,3162,5.36
2022-05,인천 지점,인천,주택용,21063.6,2281470.0,4724,12.15
2022-05,인천 지점,인천,상업용,15906.31,1813303.0,3237,80.74
2022-05,인천 지점,인천,산업용,47354.54,4000390.0,4766,66.7
2022-05,인천 지점,인천,발전용,13137.53,1224531.0,2891,7.11
2022-05,광주 지점,광주,주택용,20060.96,2052622.0,2213,4.93
2022-05,광주 지점,광주,상업용,15371.51,1735200.0,4502,3.09
2022-05,광주 지점,광주,산업용,29502.25,3109044.0,4754,12.37
2022-05,광주 지점,광주,발전용,23969.43,2739398.0,358,62.75
2022-05,대전 지점,대전,주택용,17943.92,2077181.0,787,4.73
2022-05,대전 지점,대전,상업용,14893.91,1632212.0,4058,22.1
2022-05,대전 지점,대전,산업용,50057.88,5966464.0,1694,144.68
2022-05,대전 지점,대전,발전용,11954.98,1056702.0,3169,36.67
2022-05,울산 지점,울산,주택용,20324.91,1881558.0,3090,10.17
2022-05,울산 지점,울산,상업용,11164.31,1002260.0,3931,8.33
2022-05,울산 지점,울산,산업용,23777.38,2614396.0,2426,7.1
2022-05,울산 지점,울산,발전용,24230.0,1968557.0,3040,20.38
2022-05,경기 지점,경기,주택용,22621.3,2707084.0,3930,23.71
2022-05,경기 지점,경기,상업용,11409.65,944037.0,1436,3.0
2022-05,경기 지점,경기,산업용,52900.59,4357091.0,2357,42.73
2022-05,경기 지점,경기,발전용,11961.0,1177134.0,2759,2.55
2022-05,강원 지점,강원,주택용,25129.54,2052606.0,4465,5.78
2022-05,강원 지점,강원,상업용,10772.24,1163107.0,2431,4.64
2022-05,강원 지점,강원,산업용,26595.72,3056119.0,4593,21.4
2022-05,강원 지점,강원,발전용,11943.92,1179471.0,1862,3.79
2022-05,충북 지점,충북,주택용,23957.17,2556522.0,4108,7.26
2022-05,충북 지점,충북,상업용,13968.58,1267104.0,4689,8.29
2022-05,충북 지점,충북,산업용,27441.02,3004863.0,3616,23.7
2022-05,충북 지점,충북,발전용,19782.64,1833412.0,3759,31.6
2022-05,충남 지점,충남,주택용,28458.61,2950244.0,3840,6.51
2022-05,충남 지점,충남,상업용,14078.57,1493581.0,293,6.68
2022-05,충남 지점,충남,산업용,29148.77,2628510.0,2036,5.86
2022-05,충남 지점,충남,발전용,19008.59,1880308.0,241,12.22
2022-05,전북 지점,전북,주택용,16554.12,1469390.0,4750,3.6
2022-05,전북 지점,전북,상업용,12127.47,1112569.0,2529,6.38
2022-05,전북 지점,전북,산업용,51314.78,5284969.0,4592,31.73
2022-05,전북 지점,전북,발전용,17332.08,1671520.0,4651,5.58
2022-05,전남 지점,전남,주택용,34610.44,3905717.0,4715,126.78
2022-05,전남 지점,전남,상업용,11919.1,1008111.0,1089,3.1
2022-05,전남 지점,전남,산업용,26004.96,2154259.0,3549,9.28
2022-05,전남 지점,전남,발전용,26487.94,2753360.0,1009,6.01
2022-05,경북 지점,경북,주택용,18757.87,2056598.0,1728,38.6
2022-05,경북 지점,경북,상업용,8909.94,886005.0,2098,6.67
2022-05,경북 지점,경북,산업용,28114.97,2684859.0,1230,10.19
2022-05,경북 지점,경북,발전용,19418.24,1851909.0,2342,5.81
2022-05,경남 지점,경남,주택용,31615.04,3289322.0,1735,7.71
2022-05,경남 지점,경남,상업용,11565.41,1277704.0,2706,3.48
2022-05,경남 지점,경남,산업용,29935.38,3342849.0,3028,15.52
2022-05,경남 지점,경남,발전용,22120.24,1862754.0,2000,14.21
2022-05,제주 지점,제주,주택용,23567.21,1922138.0,4558,17.37
2022-05,제주 지점,제주,상업용,10018.45,1136284.0,223,3.08
2022-05,제주 지점,제주,산업용,37915.92,3263172.0,2036,16.81
2022-05,제주 지점,제주,발전용,19809.92,1718183.0,2490,18.94
2022-06,서울 지점,서울,주택용,22189.61,2376407.0,1656,55.61
2022-06,서울 지점,서울,상업용,17443.85,1500535.0,2286,5.33
2022-06,서울 지점,서울,산업용,32651.02,3128148.0,1407,43.19
2022-06,서울 지점,서울,발전용,22727.01,2139485.0,3730,6.86
2022-06,부산 지점,부산,주택용,16899.09,1667455.0,982,7.37
2022-06,부산 지점,부산,상업용,8403.08,837423.0,1710,2.34
2022-06,부산 지점,부산,산업용,36069.62,3932622.0,3902,8.43
2022-06,부산 지점,부산,발전용,25885.97,3102302.0,1963,120.4
2022-06,대구 지점,대구,주택용,13929.98,1257068.0,1042,7.64
2022-06,대구 지점,대구,상업용,8962.49,965272.0,2467,2.07
2022-06,대구 지점,대구,산업용,30345.18,3390642.0,3334,7.2
2022-06,대구 지점,대구,발전용,8214.55,769467.0,1672,2.69
2022-06,인천 지점,인천,주택용,19757.82,2249168.0,2341,6.03
2022-06,인천 지점,인천,상업용,13505.67,1245837.0,3755,13.39
2022-06,인천 지점,인천,산업용,22369.7,2057624.0,2522,5.13
2022-06,인천 지점,인천,발전용,11012.88,1011111.0,2655,4.51
2022-06,광주 지점,광주,주택용,18623.77,1924400.0,3978,7.55
2022-06,광주 지점,광주,상업용,10274.59,1134155.0,2484,36.43
2022-06,광주 지점,광주,산업용,31139.57,3341422.0,1111,204.87
2022-06,광주 지점,광주,발전용,14273.63,1296850.0,3802,3.44
2022-06,대전 지점,대전,주택용,31366.19,2638208.0,1364,15.81
2022-06,대전 지점,대전,상업용,12849.75,1029943.0,988,16.75
2022-06,대전 지점,대전,산업용,26012.95,2901934.0,918,11.37
2022-06,대전 지점,대전,발전용,19892.98,1625091.0,2048,4.97
2022-06,울산 지점,울산,주택용,30010.89,3200824.0,1028,8.1
2022-06,울산 지점,울산,상업용,16345.44,1818805.0,1416,5.53
2022-06,울산 지점,울산,산업용,31250.28,2638746.0,326,31.53
2022-06,울산 지점,울산,발전용,19925.22,1889836.0,3337,4.99
2022-06,경기 지점,경기,주택용,29933.61,2558247.0,1039,9.02
2022-06,경기 지점,경기,상업용,11128.54,1187134.0,2196,2.58
2022-06,경기 지점,경기,산업용,20621.79,2401258.0,3941,9.8
2022-06,경기 지점,경기,발전용,23045.18,2678832.0,4736,5.28
2022-06,강원 지점,강원,주택용,31965.93,2898994.0,2612,14.2
2022-06,강원 지점,강원,상업용,17426.72,1650473.0,3562,4.19
2022-06,강원 지점,강원,산업용,44563.74,4582310.0,819,9.52
2022-06,강원 지점,강원,발전용,23701.26,2470759.0,3675,7.37
2022-06,충북 지점,충북,주택용,20632.9,2050149.0,1202,15.39
2022-06,충북 지점,충북,상업용,21083.07,2230244.0,3971,55.92
2022-06,충북 지점,충북,산업용,27141.97,3019623.0,560,7.02
2022-06,충북 지점,충북,발전용,25689.29,3028660.0,3273,81.55
2022-06,충남 지점,충남,주택용,31742.73,3721019.0,2395,17.67
2022-06,충남 지점,충남,상업용,15387.36,1277914.0,3745,5.61
2022-06,충남 지점,충남,산업용,26027.95,2981722.0,2667,7.23
2022-06,충남 지점,충남,발전용,30225.33,2891788.0,3663,17.73
2022-06,전북 지점,전북,주택용,20290.63,2047357.0,456,20.94
2022-06,전북 지점,전북,상업용,23000.47,2708261.0,4814,66.86
2022-06,전북 지점,전북,산업용,35255.74,3257630.0,4382,9.36
2022-06,전북 지점,전북,발전용,8230.68,775998.0,3683,2.0
2022-06,전남 지점,전남,주택용,31277.7,3513456.0,2937,11.33
2022-06,전남 지점,전남,상업용,14893.58,1283116.0,3418,19.44
2022-06,전남 지점,전남,산업용,37298.49,3119231.0,1729,9.83
2022-06,전남 지점,전남,발전용,28491.6,2933314.0,1205,9.17
2022-06,경북 지점,경북,주택용,19855.18,1763818.0,4300,9.86
2022-06,경북 지점,경북,상업용,9509.75,1034341.0,2971,12.51
2022-06,경북 지점,경북,산업용,32963.6,3885032.0,4747,7.17
2022-06,경북 지점,경북,발전용,18420.58,1661764.0,1491,5.55
2022-06,경남 지점,경남,주택용,24674.81,2842042.0,1490,7.14
2022-06,경남 지점,경남,상업용,12727.77,1095400.0,2580,3.8
2022-06,경남 지점,경남,산업용,23371.23,1869709.0,3932,29.25
2022-06,경남 지점,경남,발전용,13385.1,1233540.0,483,30.35
2022-06,제주 지점,제주,주택용,32449.68,3697220.0,3514,16.65
2022-06,제주 지점,제주,상업용,10387.57,985133.0,3550,2.66
2022-06,제주 지점,제주,산업용,33843.69,2813705.0,1922,10.03
2022-06,제주 지점,제주,발전용,16166.9,1604964.0,2932,4.03
2022-07,서울 지점,서울,주택용,37800.35,4095274.0,2710,9.51
2022-07,서울 지점,서울,상업용,11234.59,1259855.0,1106,22.2
2022-07,서울 지점,서울,산업용,24900.26,2133624.0,4777,5.59
2022-07,서울 지점,서울,발전용,27025.08,2632593.0,4387,6.34
